q_id,name,gnd,instance_of,birth,death,books_total,books_non_selfpub,books_selfpub,qualifies,confidence,requires_review,has_dewiki,publishers,sample_titles,wikidata_url,dewiki_url,swisscovery_search_url
Q133448427,Markus Remund,,Mensch,,,6,6,0,True,name-fuzzy,True,False,,Pflanzenbauliche Betrachtungen | <<Das>> Schlossgut Hallwil und die damalige Zeit im Lichte von Briefwechseln der Familie Erismann im Brestenberg mit den jeweiligen Schlossbesitzern des Stammes von Hallwyl | Seegarten : Vergangenes zum Chalet im Schweizer Stil | Streit zwischen Landvogt Schmaltz in Lenzburg und Junker von Goumoens in Seengen | Streitigkeiten im 18. Jahrhundert um die Kirchenstühle des Brestenbergs in der Kirche Seengen,https://www.wikidata.org/wiki/Q133448427,,"https://swisscovery.slsp.ch/discovery/search?query=creator,contains,Remund Markus&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q133249670,Martha Liechti,,Mensch,,,6,6,0,True,name-fuzzy,True,False,,"Anton Josef Brogli-Brogle | <<Der>> Dorfweibel | Einst Hanfreibe, dann Sägerei und nun elektrischer Leitungsbau | <<De>> Gislete Beat : Beat Liechti | Pius Segmüller zum Präsidenten gewählt : 4. Generalversammlung des Schweizerischen Zivilschutzverbandes SZSV tagte in Laufenburg",https://www.wikidata.org/wiki/Q133249670,,"https://swisscovery.slsp.ch/discovery/search?query=creator,contains,Liechti Martha&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q41791839,Mathias Braschler,122166841,Mensch,1969-10-31,,6,6,0,True,gnd,False,False,Edition Stephan Witschi; Hartmann Books; Nicolai; Residenz Verlag; Schwabe; Züst,"China | Divided we stand | Faces .! : Mathias Braschler, Monika Fischer | Faces of football | <<Der>> geschenkte Berg",https://www.wikidata.org/wiki/Q41791839,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,122166841&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q132733360,Matthias Grossmann,,Mensch,,,6,6,0,True,name-fuzzy,True,False,Aufsteiger-Verl; REDLINE Verlag; Redline; Redline Wirtschaft,Einkauf : Kosten senken - Qualität sichern - Einsparpotenziale realisieren | Einkauf : Kosten senken - Qualität sichern - Einsparpotenziale realisieren | Einkauf leicht gemacht | Im Einkauf liegt der Gewinn | Impedanzkardiografie mit einem modifizierten Apnocard 2 im Tierexperiment : Einfluss unterschiedlicher Sauerstoffkonzentrationen der Inspirationsluft auf die Kreislaufreaktionen gesunder und mit Cholesteroldiät gefütterter Kaninchen,https://www.wikidata.org/wiki/Q132733360,,"https://swisscovery.slsp.ch/discovery/search?query=creator,contains,Grossmann Matthias&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q85095402,Maurice Ducret,119316684,Mensch,1953-05-30,,6,6,0,True,gnd,False,False,Fabian Walter Galerie; Galerie Marie Louise Wirth; Galerie Marie-Louise Wirth; Galerie und Verlag E.+D. Schrade; Kunsthandlung & Galerie Carla Renggli; [Verlag nicht ermittelbar],"Maurice Ducret - Bilder von 1984 bis 1986 : Schloss Mochental Ehingen, 1986 | Maurice Ducret | Maurice Ducret : Arbeiten auf Papier 1995 | Maurice Ducret : Bilder : Zürich, Galerie Marie- Louise Wirth, [1987] | Maurice Ducret: [ABC]",https://www.wikidata.org/wiki/Q85095402,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,119316684&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q133448473,Max Röthlisberger,,Mensch,,,6,6,0,True,name-fuzzy,True,False,Bouvier; Bundesamt für Statistik; [Verlag nicht ermittelbar],5o Jahre Verband Bücherexperten | Anwendung und Entwicklung der obligationenrechtlichen Vorschriften über die Prüfungspflicht der Kontrollstelle der AG | <<Die>> Bedeutung der Lager- und Transportkosten im Rechnungswesen einer industriellen Unternehmung | Jugendliche - Trendsetter oder Ausgeschlossene ? : ein statistisches Porträt der Jugend : Beiträge zur Sozialberichterstattung für die Schweiz = Les jeunes donnent-ils le ton ou sont-ils des exclus ? : un portrait statistique des jeunes : contributions aux rapports sociaux pour la Suisse | Probleme der in vitro Inkubation von Schilddrüsenschnitten,https://www.wikidata.org/wiki/Q133448473,,"https://swisscovery.slsp.ch/discovery/search?query=creator,contains,Röthlisberger Max&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q15831083,Max Voegeli,127389040,Mensch,1921-05-02,1985-04-24,6,6,0,True,gnd,False,True,Sauerländer; VOB,"<<Die>> abenteuerlichen Geschichten des Robin Hood | Ali, der kleine Dieb von Bagdad | Amapali und der Erhabene : eine indische Erzählung | <<Der>> hölzerne Kurt : Eine Geschichte für kleine und grosse Leute | <<Der>> hölzerne Kurt",https://www.wikidata.org/wiki/Q15831083,https://de.wikipedia.org/wiki/Max_Voegeli,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,127389040&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q66712134,Michael Hugentobler,1151233544,Mensch,1975-01-01,,6,6,0,True,gnd,False,True,dtv,Bis die Bären tanzen : Roman | Feuerland : Roman | Feuerland : Roman | Louis oder Der Ritt auf der Schildkröte : Roman | Louis oder Der Ritt auf der Schildkröte : Roman,https://www.wikidata.org/wiki/Q66712134,https://de.wikipedia.org/wiki/Michael_Hugentobler_(Schriftsteller),"https://swisscovery.slsp.ch/discovery/search?query=any,contains,1151233544&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q1944523,Monica Cantieni,143520237,Mensch,1965-03-09,,6,6,0,True,gnd,False,True,Die Provinz GmbH - Gemeinnützige Gesellschaft für Kulturprojekte; JULL; JULL Junges Literaturlabor; Schöffling; da bux,2052 - und immer noch kein Weltuntergang! | Grünschnabel : Roman | Keeping up with the 8046er | Tsüri Tatort : durchdrehende Drehbücher für noch ungedrehte Krimis | <<Der>> üble Mord,https://www.wikidata.org/wiki/Q1944523,https://de.wikipedia.org/wiki/Monica_Cantieni,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,143520237&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q132231630,Oliver Lang,143771728,Mensch,1966-05-16,,6,6,0,True,gnd,False,False,Hier und Jetzt; Quart Verlag; hier + jetzt,"Buchner Bründler | Göhner wohnen : Wachstumseuphorie und Plattenbau | Göhner wohnen : Wachstumseuphorie und Plattenbau | <<Die>> Hypi-Story : vom landwirtschaftlichen Kredithaus zur digitalen Universalbank | Säen, dröhnen, feiern : lebendige Traditionen heute",https://www.wikidata.org/wiki/Q132231630,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,143771728&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
