q_id,label,given,family,gnd,instance_of,birth,death,dewiki_url,has_dewiki,wikidata_url
Q134476593,Kurt Wagner,Kurt,Wagner,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476593
Q134476594,David Wälchli,David,Walchli,1076196152,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476594
Q134476595,Walter-Karl Walde,Walter Karl,Walde,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476595
Q134476596,Beat Walde-Huber,Beat,Huber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476596
Q134476597,Markus Walder,Markus,Walder,1067270272,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476597
Q134476598,Ernst Waldesbühl,Ernst,,132773104,Mensch,1927-01-12,,,False,https://www.wikidata.org/wiki/Q134476598
Q134476599,Michael Waldmeier,Michael,,124892147X,Mensch,1987-01-01,,,False,https://www.wikidata.org/wiki/Q134476599
Q134476600,Thomas Waldmeier,Thomas,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476600
Q134476601,F.J. Waldmeyer,F.,Waldmeyer,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476601
Q134476602,Reto Walther,Reto,Walther,137891768,Mensch,1972-01-01,,,False,https://www.wikidata.org/wiki/Q134476602
Q134476603,Friedrich Walti,Friedrich,Walti,1089445652,Mensch,1933-01-01,,,False,https://www.wikidata.org/wiki/Q134476603
Q134476606,Otto Walti,Otto,Walti,1161672702,Mensch,1938-01-01,,,False,https://www.wikidata.org/wiki/Q134476606
Q134476607,Hans Wälti,Hans,Wälti,1116587629,Mensch,1930-01-01,,,False,https://www.wikidata.org/wiki/Q134476607
Q134476608,Carmen Wanner,Carmen,Wanner,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476608
Q134476609,Röby Wark,Roby,Wark,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476609
Q134476610,Hugo Wasser,Hugo,Wasser,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476610
Q134476611,Alfred Weber,Alfred,Weber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476611
Q134476612,Bernhard Weber,Bernhard,Weber,106485009X,Mensch,1937-01-01,,,False,https://www.wikidata.org/wiki/Q134476612
Q134476613,Ernst Weber,Ernst,Weber,118915053,Mensch,1934-03-20,,,False,https://www.wikidata.org/wiki/Q134476613
Q134476614,Franky Weber,Franky,Weber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476614
Q134476615,Josef Weber,Josef,Weber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476615
Q134476616,Lukas Weber,Lukas,Weber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476616
Q134476618,Rudolf Weber,Rudolf,Weber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476618
Q134476619,Peter Weber-Stocco,Peter,Weber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476619
Q134476620,Irene Wegmann,Irene,Wegmann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476620
Q134476621,Roswitha Wegmann,Roswitha,Wegmann,124728871,Mensch,1942-01-01,,,False,https://www.wikidata.org/wiki/Q134476621
Q134476622,Silvan Wegmann,Silvan,Wegmann,1152285513,Mensch,1969-01-01,,,False,https://www.wikidata.org/wiki/Q134476622
Q134476623,Mike Wegmüller,Mike,Wegmüller,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476623
Q134476624,Claudia Wehrli,Claudia,Wehrli,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476624
Q134476625,Frank Wehrli,Frank,Wehrli,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476625
Q134476626,Thomas Wehrli,Thomas,Wehrli,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476626
Q134476627,Georg B. Weibel,Georg,Weibel,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476627
Q134476628,Patrick Weibel,Patrick,Weibel,1116569108,Mensch,1978-01-01,,,False,https://www.wikidata.org/wiki/Q134476628
Q134476629,Ralph Weingarten,Ralph,Weingarten,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476629
Q134476630,Angela Weiss,Angela,Weiss,1211507572,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476630
Q134476631,Jacqueline Weiss,Jacqueline,Weiss,1018791914,Mensch,1966-01-01,,,False,https://www.wikidata.org/wiki/Q134476631
Q134476632,Dora Weissenbach,Dora,Weissenbach,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476632
Q134476633,Urs Werner,Urs,Werner,1133384935,Mensch,1967-01-01,,,False,https://www.wikidata.org/wiki/Q134476633
Q134476634,Maria Gabriella Werthmüller,Maria Gabriella,Werthmüller,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476634
Q134476635,Janine Wespi Zhang,Janine,Zhang,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476635
Q134476636,Beata Notter Wetli,Beata,Wetli,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476636
Q134476637,Gabriela Wettstein,Gabriela,Wettstein,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476637
Q134476638,Othmar Wey,Othmar,Wey,1323069321,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476638
Q134476639,Max Weyermann,Max,Weyermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476639
Q134476640,Dieter Wicki,Dieter,Wicki,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476640
Q134476641,Alessandra Widmer,Alessandra,Widmer,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476641
Q134476642,André Widmer,André,Widmer,1043874550,Mensch,1973-01-01,,,False,https://www.wikidata.org/wiki/Q134476642
Q134476643,Erich Widmer,Erich,Widmer,1347232478,Mensch,1935-02-07,,,False,https://www.wikidata.org/wiki/Q134476643
Q134476644,Heidi Widmer,Heidi,Widmer,119123347,Mensch,1946-05-02,,,False,https://www.wikidata.org/wiki/Q134476644
Q134476645,Muriel Widmer,Muriel,Widmer,1256968544,Mensch,1994-01-01,,,False,https://www.wikidata.org/wiki/Q134476645
Q134476646,Richard Widmer,,Widmer,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476646
Q134476647,Urs Widmer,Urs,Widmer,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476647
Q134476648,Patrik Widmer- Wolf,Patrik,Widmer,105907916X,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476648
Q134476650,David Wiederkehr,David,Wiederkehr,1256054119,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476650
Q134476651,Gustav Wiederkehr,Gustav,Wiederkehr,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476651
Q134476652,Kurt Wiederkehr,Kurt,Wiederkehr,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476652
Q134476653,Anneliese Wiederkehr-Oggenfuss,Anneliese,Wiederkehr,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476653
Q134476654,Sybille Wild,,Wild,137929757,Mensch,1972-01-01,,,False,https://www.wikidata.org/wiki/Q134476654
Q134476656,Heinz Wildi,Heinz,Wildi,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476656
Q134476657,Ulrich Wismer,Ulrich,Wismer,136254772,Mensch,1959-01-01,,,False,https://www.wikidata.org/wiki/Q134476657
Q134476658,Leo Wohler,Leo,Wohler,1089574835,Mensch,1890-01-01,1952-01-01,,False,https://www.wikidata.org/wiki/Q134476658
Q134476659,Boris Henning Wöhler,Boris,Wöhler,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476659
Q134476660,Klara Wolf,Klara,Wolf,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476660
Q134476661,Max Woodtly,Max,,1089402937,Mensch,1946-09-05,2014-11-17,,False,https://www.wikidata.org/wiki/Q134476661
Q134476662,Karin Wrulich,Karin,,1208174428,Mensch,1942-01-01,,,False,https://www.wikidata.org/wiki/Q134476662
Q134476663,Alphons Wüest,Alphons,Wüest,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476663
Q134476664,Daniel Wuffli,Daniel,,1073727998,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476664
Q134476665,Sebastian Wuffli,Sebastian,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476665
Q134476666,Albi Wuhrmann,Albi,Wührmann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476666
Q134476667,Hans Jürgen Wulf,Hans-Jürgen,Wulf,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476667
Q134476668,Benno Wullschleger,Benno,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476668
Q134476669,Véronique Wullschleger,Véronique,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476669
Q134476670,Brigitte Wunderlin,Brigitte,Wunderlin,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476670
Q134476672,Roman Würsch,Roman,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476672
Q134476673,Richard Wurz,,Wurz,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476673
Q134476674,Werner Wüthrich,Werner,,1103050680,Mensch,1962-02-08,,,False,https://www.wikidata.org/wiki/Q134476674
Q134476675,Donovan Wyrsch,Donovan,Wyrsch,1341759504,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476675
Q134476676,Willi Wyrsch,Willi,Wyrsch,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476676
Q134476677,Anja Wyser,Anja,,1019236175,Mensch,1984-01-01,,,False,https://www.wikidata.org/wiki/Q134476677
Q134476678,Christian Wyss,Christian,Wyss,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476678
Q134476679,Franz Josef Anton Wyss,Franz,Wyss,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476679
Q134476680,René Wyss,René,Wyss,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476680
Q134510158,Gallus Zahno,Gallus,Zahno,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510158
